signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
LINCSCP_73439	NA	16	AARS	-1.78874	0.017205884680152
LINCSCP_73439	NA	23	ABCF1	-0.280553	0.554876446723938
LINCSCP_73439	NA	25	ABL1	-1.21214	0.140045419335365
LINCSCP_73439	NA	30	ACAA1	0.0790735	0.868577361106873
LINCSCP_73439	NA	39	ACAT2	5.5121	0.000220054120291
LINCSCP_73439	NA	47	ACLY	0.60183	0.26753905415535
LINCSCP_73439	NA	102	ADAM10	-1.45836	0.109290324151516
LINCSCP_73439	NA	128	ADH5	-2.25001	0.304791748523712
LINCSCP_73439	NA	142	PARP1	-1.39029	0.111994110047817
LINCSCP_73439	NA	154	ADRB2	-0.815257	0.147337108850479
LINCSCP_73439	NA	178	AGL	0.407806	0.47690287232399
LINCSCP_73439	NA	207	AKT1	-1.00676	0.086987942457199
LINCSCP_73439	NA	211	ALAS1	1.36904	0.138856068253517
LINCSCP_73439	NA	226	ALDOA	-0.00460517	0.991788327693939
LINCSCP_73439	NA	230	ALDOC	2.46374	0.002249604323879
LINCSCP_73439	NA	291	SLC25A4	2.43184	0.003396585583687
LINCSCP_73439	NA	310	ANXA7	0.498097	0.291657716035843
LINCSCP_73439	NA	323	APBB2	-1.93965	0.008182948455215
LINCSCP_73439	NA	329	BIRC2	-0.633955	0.259954184293747
LINCSCP_73439	NA	332	BIRC5	0.0548314	0.902135372161865
LINCSCP_73439	NA	348	APOE	-1.67619	0.061158780008555
LINCSCP_73439	NA	351	APP	0.591519	0.307286471128464
LINCSCP_73439	NA	355	FAS	-0.105408	0.860494196414948
LINCSCP_73439	NA	387	RHOA	0.382455	0.436887741088867
LINCSCP_73439	NA	392	ARHGAP1	-1.5535	0.04754214733839
LINCSCP_73439	NA	427	ASAH1	1.34627	0.048858553171158
LINCSCP_73439	NA	466	ATF1	-0.0197252	0.968859076499939
LINCSCP_73439	NA	481	ATP1B1	-2.51313	0.011204899288714
LINCSCP_73439	NA	501	ALDH7A1	1.73647	0.042588863521814
LINCSCP_73439	NA	533	ATP6V0B	1.20998	0.049370769411326
LINCSCP_73439	NA	572	BAD	-0.196621	0.668558120727539
LINCSCP_73439	NA	581	BAX	0.204037	0.711097240447998
LINCSCP_73439	NA	595	CCND1	0.0379667	0.936229765415192
LINCSCP_73439	NA	596	BCL2	-1.49544	0.02753702364862
LINCSCP_73439	NA	622	BDH1	-0.374847	0.431087404489517
LINCSCP_73439	NA	637	BID	1.4642	0.075008496642113
LINCSCP_73439	NA	642	BLMH	-1.11666	0.097644031047821
LINCSCP_73439	NA	644	BLVRA	-0.34428	0.57529354095459
LINCSCP_73439	NA	652	BMP4	-0.529886	0.285472899675369
LINCSCP_73439	NA	664	BNIP3	-0.633626	0.230857640504837
LINCSCP_73439	NA	665	BNIP3L	-0.337501	0.472622275352478
LINCSCP_73439	NA	670	BPHL	1.31978	0.057474046945572
LINCSCP_73439	NA	672	BRCA1	-0.919186	0.162807732820511
LINCSCP_73439	NA	695	BTK	0.883284	0.148955136537552
LINCSCP_73439	NA	701	BUB1B	-0.576002	0.406842887401581
LINCSCP_73439	NA	727	C5	-0.309461	0.640308558940887
