signature,Name_GeneSymbol,z_scores
REP.A007_A375_24H:N13,DDR1,-1.4315066
REP.A007_A375_24H:N13,PAX8,2.0114346
REP.A007_A375_24H:N13,RPS5,1.3714274
REP.A007_A375_24H:N13,ABCF1,-0.6720092
REP.A007_A375_24H:N13,SPAG7,-1.2614317
REP.A007_A375_24H:N13,RHOA,0.29922062
REP.A007_A375_24H:N13,RNPS1,-1.6260607
REP.A007_A375_24H:N13,SMNDC1,-0.5025231
REP.A007_A375_24H:N13,ATP6V0B,1.9512308
REP.A007_A375_24H:N13,RPS6,0.7923694
REP.A007_A375_24H:N13,USP22,-1.4768666
REP.A007_A375_24H:N13,APP,1.2140894
REP.A007_A375_24H:N13,CLTC,0.18855733
REP.A007_A375_24H:N13,MLEC,0.24330316
REP.A007_A375_24H:N13,CSRP1,-0.5037087
REP.A007_A375_24H:N13,CALM3,-0.17564489
REP.A007_A375_24H:N13,PTPRF,0.54850656
REP.A007_A375_24H:N13,DNAJB1,0.5046172
REP.A007_A375_24H:N13,XBP1,-0.3846428
REP.A007_A375_24H:N13,GRN,2.1529765
REP.A007_A375_24H:N13,HK1,-1.0646139
REP.A007_A375_24H:N13,KDELR2,-0.6991719
REP.A007_A375_24H:N13,SKP1,1.0007136
REP.A007_A375_24H:N13,CAPN1,-0.12712657
REP.A007_A375_24H:N13,CALU,2.3927991
REP.A007_A375_24H:N13,CTSD,1.5100185
REP.A007_A375_24H:N13,MAT2A,-1.2112974
REP.A007_A375_24H:N13,STMN1,-1.7114586
REP.A007_A375_24H:N13,ECH1,2.4989228
REP.A007_A375_24H:N13,IQGAP1,-0.15269966
REP.A007_A375_24H:N13,HSPA1A,-0.691691
REP.A007_A375_24H:N13,HSPD1,-1.280609
REP.A007_A375_24H:N13,CIRBP,-1.7152578
REP.A007_A375_24H:N13,PSME1,3.3450792
REP.A007_A375_24H:N13,PAFAH1B1,-0.3979099
REP.A007_A375_24H:N13,HYOU1,-2.0674548
REP.A007_A375_24H:N13,PSMD2,-1.2064359
REP.A007_A375_24H:N13,EPRS,-2.211802
REP.A007_A375_24H:N13,PSMD4,-0.046777587
REP.A007_A375_24H:N13,PGAM1,-0.13778265
REP.A007_A375_24H:N13,STAT1,-0.08431143
REP.A007_A375_24H:N13,FKBP4,0.15851517
REP.A007_A375_24H:N13,KTN1,-1.1981524
