LSM-5341,CLC1CCCCC1C(C1CCCCC1)(C1CCCCC1)N1CCNC1
LSM-3349,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(CL)[C@@H](O)C[C@]2(C)[C@@]1(OC(=O)C1CCCO1)C(=O)CCL
LSM-1205,CC[C@H](NC1NCNC2[NH]CNC12)C1NC2CCCC(F)C2C(=O)N1-C1CCCCC1
LSM-1199,COC1CC2C(NC3CCC(BR)CC3F)NCNC2CC1OCC1CCN(C)CC1
LSM-1190,COC1CC(NC2C(C#N)CNC3CC(OCCCN4CCN(C)CC4)C(OC)CC23)C(CL)CC1CL
LSM-36374,CC1CC(NC2NCC(CL)C(NC3CCCCC3S(=O)(=O)C(C)C)N2)C(OC(C)C)CC1C1CCNCC1
LSM-5215,NC1CCN([C@@H]2CS[C@H](CO)O2)C(=O)N1
LSM-1027,C[C@@H](OC1CC(-C2CNN(C3CCNCC3)C2)CNC1N)C1C(CL)CCC(F)C1CL
LSM-1195,COC1CC2NCCC(OC3CCC(NC(=O)C4(C(=O)NC5CCC(F)CC5)CC4)CC3)C2CC1OC
LSM-2621,CC(C)C(=O)NC1CCC([N+](=O)[O-])C(C(F)(F)F)C1
LSM-1020,CC1NC(NC2NCC(C(=O)NC3C(C)CCCC3CL)S2)CC(N2CCN(CCO)CC2)N1
LSM-1056,CN1CNC2C(F)C(NC3CCC(BR)CC3CL)C(C(=O)NOCCO)CC21
LSM-1143,CC(=O)NC1CCCC(-N2C(=O)N(C3CC3)C(=O)C3C(NC4CCC(I)CC4F)N(C)C(=O)C(C)C32)C1
LSM-45468,CC1(C)CCC(CN2CCN(C3CCC(C(=O)NS(=O)(=O)C4CCC(NCC5CCOCC5)C([N+](=O)[O-])C4)C(OC4CNC5[NH]CCC5C4)C3)CC2)=C(C2CCC(CL)CC2)C1
LSM-3309,COC1CCC(C(=O)C2CCCCC2)C(O)C1
LSM-3828,O=C(CCCCCCC(=O)NC1CCCCC1)NO
LSM-3425,O=C(C1CCC(OCCN2CCCCC2)CC1)C1C(-C2CCC(O)CC2)SC2CC(O)CCC12
